Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Sloper Safari","Meadows Boulder > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106329025/sloper-safari,3.3,-1,Boulder,V4,1,10,33.99418,-116.14301
"Hobbit Hole Offwidth","Hobbit Hole Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106072721/hobbit-hole-offwidth,3.2,-1,Boulder,V0,1,12,34.0229,-116.16414
"Nicole Overhang","Nicole Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107905741/nicole-overhang,3.2,-1,Boulder,V6,1,13,33.99779,-116.1536
"Roof Romp","Romp Roof > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105837898/roof-romp,3.1,-1,Boulder,V4,1,15,34.02174,-116.16332
"Illicit Sweetie","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105798054/illicit-sweetie,3.0,-1,Boulder,V0,1,18,33.99802,-116.15351
"Aiguille de Joshua Tree (aka The Finger of Hercules)","Aiguille de Joshua Tree > Lost Horse Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105721981/aiguille-de-joshua-tree-aka-the-finger-of-hercules,3.0,-1,"Trad, Boulder","5.5 V0 X",1,30,34.01514,-116.17858
"False Hueco Traverse","False Hueco Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048290/false-hueco-traverse,3.0,-1,Boulder,V2,1,15,34.01912,-116.16529
"Yabo Roof","Yabo Roof Area > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106039628/yabo-roof,3.0,-1,Boulder,V3,1,6,34.01468,-116.1658
Caveman,"Caveman Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723397/caveman,3.6,-1,Boulder,V7-,1,30,34.01622,-116.1633
Pinhead,"Pinhead Boulder > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722209/pinhead,2.9,-1,Boulder,"5.8+ V0",1,15,34.01999,-116.16161
"Classic Thin Crack","Classic Thin Crack Boulder > Echo Cove Bouldering > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106069406/classic-thin-crack,3.1,-1,Boulder,V2,1,15,34.02534,-116.15881
"Yabba Dabba Don't","Yabba Dabba Don't Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106066269/yabba-dabba-dont,2.9,-1,Boulder,V3,1,15,34.01968,-116.16583
"Strawberry Contraceptives","Strawberry Contraceptives Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108433838/strawberry-contraceptives,3.1,-1,Boulder,V7,1,10,33.99762,-116.15424
Undertow,"Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105908399/undertow,2.9,-1,Boulder,V3,1,16,34.01431,-116.15814
"Sweetie Pie (Dragon Scales)","Illicit Sweetie Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649376/sweetie-pie-dragon-scales,2.9,-1,Boulder,V-easy,1,18,33.99802,-116.15351
"Hobbit Roof","The Blob - West Face > The Blob > Hidden Valley Campground > Hidden Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722200/hobbit-roof,2.8,-1,"Trad, Boulder","5.10d V1-",1,40,34.01799,-116.16431
"Mystical Vibrations","Mystical Vibrations > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106662822/mystical-vibrations,3.2,-1,Boulder,V5,1,15,34.01955,-116.16367
"Satellite Boulder Left","Satellite Boulder > Planet X Area > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107601458/satellite-boulder-left,3.5,-1,Boulder,"V3 PG13",1,18,33.9966,-116.15558
"Little Chucky","Chuckawalla Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107934846/little-chucky,2.8,-1,Boulder,V4,1,8,34.02056,-116.16505
"False Hueco","False Hueco Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048286/false-hueco,2.8,-1,Boulder,V1,1,11,34.01912,-116.16529
"Betty Jo Yablonksi","Betty Jo Rock > Entrance Boulder & Vicinity > Real Hidden Valley Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725209/betty-jo-yablonksi,3.6,-1,Boulder,"5.10a V0 R",1,25,34.01247,-116.16861
"The Womb","The Womb > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106051737/the-womb,2.7,-1,Boulder,V-easy,1,13,34.01398,-116.16039
"Not So Thin Lizzie","Lizzie Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725713/not-so-thin-lizzie,2.7,-1,Boulder,V3,1,10,34.0202,-116.165
"The Boxer Problem","Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105908403/the-boxer-problem,2.5,-1,Boulder,V2,1,13,34.01431,-116.15814
Chuckawalla,"Chuckawalla Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725470/chuckawalla,2.5,-1,Boulder,V1,1,15,34.02056,-116.16505
"High Noon","Gunsmoke Wall > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722908/high-noon,3.5,-1,Boulder,V5,1,16,34.02858,-116.14508
Thingamajig,"Manx Boulders - Southeast Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105933364/thingamajig,2.4,-1,Boulder,V0-,1,16,34.01419,-116.15821
"Streetcar Named Desire","Streetcar Boulder > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722911/streetcar-named-desire,3.8,-1,Boulder,V6-7,1,13,34.02758,-116.14483
"Lynn Hill Memorial Face Problem","Lynn Hill Memorial Boulder > King Dome Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106118096/lynn-hill-memorial-face-problem,3.7,-1,Boulder,V4,1,20,34.00377,-116.14932
"Holenoid (aka The Grundle from Down Under)","Pinhead Boulder > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106169368/holenoid-aka-the-grundle-from-down-under,2.3,-1,Boulder,V0+,1,15,34.01999,-116.16161
"Igneous Ambiance","Igneous Boulder > Echo Cove Bouldering > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108854273/igneous-ambiance,3.4,-1,Boulder,V7,1,8,34.02588,-116.1595
"The Halfling","Halfling Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649431/the-halfling,2.5,-1,Boulder,V1+,1,15,33.99792,-116.15341
Bulgemaster,"Tilt-o-Meter Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106332352/bulgemaster,2.6,-1,Boulder,V2,1,10,34.02044,-116.16555
"Meadows Direct","Meadows Boulder > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106708072/meadows-direct,3.4,-1,Boulder,V6,1,15,33.99418,-116.14301
Sweetielicious,"Illicit Sweetie Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106649385/sweetielicious,2.4,-1,Boulder,V0-,1,18,33.99802,-116.15351
Turnbuckle,"Turnbuckle Rock > Turtle Rock Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106076122/turnbuckle,2.3,-1,Boulder,V1+,1,12,34.00964,-116.16705
"Big Bob's Big Wedge","Big Bob's Big Wedge > Live Oak Picnic Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/105900396/big-bobs-big-wedge,3.9,-1,Boulder,"5.12a V5",1,40,33.99973,-116.05138
"Fidelman Arete","Fidelman Boulder > Ryan Campground Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106123972/fidelman-arete,2.1,-1,Boulder,V1,1,15,33.98416,-116.1526
"Flintlock Dyno","Chuckawalla Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725467/flintlock-dyno,2.0,-1,Boulder,V0,1,10,34.02056,-116.16505
"White Crack","Cap Rock > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106161774/white-crack,2.9,-1,Boulder,V-easy,1,15,33.98965,-116.16317
"Turtle Face, Left","Wedge Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105901228/turtle-face-left,2.7,-1,Boulder,V1,1,20,34.00972,-116.16725
"Dream Sequence","Dream Sequence Boulder > Lonely Stones 1 > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/112449555/dream-sequence,3.5,-1,Boulder,V6,1,13,34.08958,-116.25335
"Pinhead Traverse","Pinhead Boulder > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106292515/pinhead-traverse,1.7,-1,Boulder,"5.4 V-easy",1,10,34.01999,-116.16161
"Zippy the Pinhead","Pinhead Boulder > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106292521/zippy-the-pinhead,2.1,-1,Boulder,V0+,1,15,34.01999,-116.16161
"Mr. H","Voices Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725473/mr-h,2.0,-1,Boulder,V-easy,1,12,34.02038,-116.16562
"Swinging Richard","Chocolate Boulder 1 > Chocolate Boulders > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105789389/swinging-richard,3.1,-1,Boulder,V4,1,20,34.06259,-116.22631
"Gripper Traverse","Trashcan Boulders > Trashcan Rock Area > Quail Springs Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722803/gripper-traverse,2.2,-1,Boulder,V0,1,,34.04026,-116.19707
"Planet X","Planet X Boulder > Planet X Area > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722578/planet-x,3.9,-1,Boulder,"V6 R",1,23,33.99712,-116.15523
"All Washed Up","Sandy Wash Corridor > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723292/all-washed-up,3.9,-1,Boulder,V6,1,20,33.98848,-116.16102
Fishbait,"Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106115235/fishbait,2.0,-1,Boulder,V1,1,12,34.01431,-116.15814
"Caveman Finish","Caveman Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/118130718/caveman-finish,2.8,-1,Boulder,V3,1,12,34.01622,-116.1633
"Thin Lizzie","Lizzie Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725710/thin-lizzie,3.5,-1,Boulder,V8,1,10,34.0202,-116.165
"Northwest Arete","Wedge Boulder > Turtle Rock Circuit > Real Hidden Valley Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106047068/northwest-arete,2.4,-1,Boulder,V-easy,1,20,34.00972,-116.16725
Scatterbrain,"Scatterbrain Boulder > Scatterbrain Area > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106934624/scatterbrain,3.6,-1,Boulder,V6,1,18,34.01854,-116.16366
"Dynamo Hum","Triangle Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725293/dynamo-hum,2.9,-1,Boulder,V1,1,20,34.01678,-116.16341
"Picture Perfect","Picture Perfect Boulder > Stonehenge Boulders > Stonehenge and Fry Boulders > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106039440/picture-perfect,2.5,-1,Boulder,V1,1,15,33.9861,-116.15981
"Mulligan Variation","Igneous Boulder > Echo Cove Bouldering > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106662629/mulligan-variation,3.1,-1,Boulder,V8-,1,12,34.02588,-116.1595
Collieherb,"Collieherb Boulder > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723304/collieherb,2.8,-1,Boulder,V0,1,15,33.9884,-116.16268
"The Inquisition","Inquisition Bloc > Lonesome Crowded West > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106801960/the-inquisition,3.9,-1,Boulder,V6,1,20,34.03228,-116.17147
Yardarm,"Yardarm Boulder > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106039616/yardarm,2.1,-1,Boulder,V1,1,13,34.01464,-116.1659
"Ryan's Roof","Roof Boulder > Ryan Campground Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/109022710/ryans-roof,2.7,-1,Boulder,V5,1,12,33.98392,-116.15436
"Pumping Monzonite","Pumping Monzonite Boulder > Cap Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105901886/pumping-monzonite,3.8,-1,Boulder,V8-,1,15,33.9877,-116.1613
"Walking Mexican Down the Hall","The Real Hall of Horrors > Hall of Horrors Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106625231/walking-mexican-down-the-hall,2.5,-1,Boulder,V0,1,30,34.00056,-116.14758
"Piano Crack","Piano Rock > Gunsmoke Area > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106149998/piano-crack,2.6,-1,Boulder,V-easy,1,23,34.02807,-116.14776
"False Blockhead","The Blockhead > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106039638/false-blockhead,2.2,-1,Boulder,V1,1,11,34.01475,-116.16589
"The Easiest Yogi Eliminate Variation","Pigpen Boulder > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/113620731/the-easiest-yogi-eliminate-variation,3.4,-1,Boulder,V8,1,10,34.0153,-116.15811
"Off Camber","Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725494/off-camber,3.0,-1,Boulder,V4,1,15,34.01431,-116.15814
"Chorizo Tacos","Land of the Lost Boulder > Echo Cove Bouldering > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108017981/chorizo-tacos,2.9,-1,Boulder,V4,1,12,34.0261,-116.15844
"Voices Arete","Voices Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725476/voices-arete,2.0,-1,Boulder,V-easy,1,12,34.02038,-116.16562
"Master Cylinder","Master Cylinder > Echo Rock Boulders > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/111808964/master-cylinder,3.8,-1,Boulder,V5,1,18,34.02594,-116.15522
"Chili Sauce (aka Moffat Problem)","Moffat Boulder > Ryan Campground Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722893/chili-sauce-aka-moffat-problem,3.5,-1,Boulder,V7,1,20,33.98393,-116.15202
Paddler,"Pinhead Boulder > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106169373/paddler,1.7,-1,Boulder,V-easy,1,15,34.01999,-116.16161
X-Men,"X-Men Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108549284/x-men,3.2,-1,Boulder,V4-5,1,20,33.99662,-116.15492
"Left Nixon Crack","Nixon Cracks > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/114241079/left-nixon-crack,3.3,-1,Boulder,"V0 PG13",1,18,34.01914,-116.16419
"Nicole Face","Feature Boulder (aka Fred Nicole Boulder) > Inner Circle > The Underground > Queen Mountain Bouldering > Queen Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106151277/nicole-face,3.7,-1,Boulder,V3-4,1,18,34.06942,-116.09196
"Iron Meteorite (aka Kingpin)","The Iron Meteorite (aka Kingpin Boulder) > King Dome Area > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/108085516/iron-meteorite-aka-kingpin,3.9,-1,Boulder,"V5 PG13",1,22,34.00242,-116.14971
"Descent Route","False Up 20 Boulder > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106114651/descent-route,2.3,-1,Boulder,V-easy,1,20,34.01513,-116.16605
"The Bardini Crack (aka: Blas Beemer)","Blas Beemer Boulder > Blas Beemer Area > Lost Horse Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106118126/the-bardini-crack-aka-blas-beemer,2.7,-1,Boulder,V2,1,15,34.02787,-116.1787
"False Blockhead Sit Start","The Blockhead > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106662637/false-blockhead-sit-start,2.5,-1,Boulder,V5,1,12,34.01475,-116.16589
Alexandria,"The Rosetta Stone > Loveland Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722161/alexandria,3.9,-1,Boulder,V6,1,20,34.02582,-116.04886
"Intersection Boulder, Left","Intersection Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722809/intersection-boulder-left,2.4,-1,Boulder,V0,1,20,34.01512,-116.1628
Psyche,"Xenolithic Boulder > Loveland Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722866/psyche,4.0,-1,Boulder,V4,1,20,34.01707,-116.04227
"Diary of a Dope Fiend","Alisters Cave > Barker Dam Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/107455255/diary-of-a-dope-fiend,3.9,-1,Boulder,V8,1,25,34.0317,-116.1499
"Coyote Corner","Coyote Corner > Echo Cove Bouldering > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106693819/coyote-corner,3.5,-1,Boulder,"V1 R",1,33,34.02521,-116.16083
"La Migra","Texas Boulder > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106136573/la-migra,2.8,-1,Boulder,V3,1,13,34.0181,-116.1698
Scuttlebutt,"Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/105908394/scuttlebutt,2.2,-1,Boulder,V1,1,15,34.01431,-116.15814
Torquemeister,"False Hueco Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California",https://www.mountainproject.com/route/106048504/torquemeister,2.1,-1,Boulder,V4-,1,10,34.01912,-116.16529
